Original_ID,SMILES,Source,InChIKey,MW,LogP,TPSA,RotBonds,Activity_Label
PubChem_167512109,CNC(=O)c1cnc(Nc2ccccc2C)c(NS(=O)(=O)c2cn(C)nc2C)c1,PubChem,LOYDQKWFJJJATK-UHFFFAOYSA-N,414.49100000000016,2.33594,118.01,6,Inactive
PubChem_167512118,CNC(=O)c1cnc(Nc2ccccc2)c(NC(=O)c2cc(F)cc(C(F)(F)F)c2)c1,PubChem,MTFNUTGUHZRDJD-UHFFFAOYSA-N,432.3770000000001,4.595000000000002,83.12,5,Inactive
PubChem_167512128,CNC(=O)c1cnc(Nc2ccccc2C)c(NC(=O)c2nc(SC)ncc2Cl)c1,PubChem,VWJRGPDNPLQVDF-UHFFFAOYSA-N,442.9320000000001,3.910820000000002,108.9,6,Inactive
PubChem_167512133,CNC(=O)c1cnc(Nc2cccnc2C)c(NC(=O)c2cc(F)cc(C(F)(F)F)c2)c1,PubChem,AMKIYTZNGBROLB-UHFFFAOYSA-N,447.3920000000001,4.298420000000003,96.01,5,Inactive
PubChem_167512140,CNC(=O)c1cnc(Nc2ccccc2C)c(NC(=O)c2ccc(OC(F)(F)F)c(F)c2)c1,PubChem,MWBSZGLSCKBEKN-UHFFFAOYSA-N,462.4030000000001,4.783220000000003,92.35,6,Inactive
PubChem_167512145,CNC(=O)c1cnc(N2CCNc3ccccc32)c(NC(=O)c2csc3ccccc23)c1,PubChem,RFNDWWNLXVEBSG-UHFFFAOYSA-N,443.53200000000015,4.471800000000002,86.36000000000001,4,Inactive
PubChem_167512148,CNC(=O)c1cnc(Nc2ccccc2C)c(NC(=O)Cc2ccccc2Cl)c1,PubChem,HUEWJEZZTUSQHK-UHFFFAOYSA-N,408.8890000000001,4.327820000000003,83.12,6,Inactive
PubChem_167512150,CNC(=O)c1cnc(NCc2cncn2C)c(NC(=O)c2cc(F)cc(C(F)(F)F)c2)c1,PubChem,OYJDICPIGKDDJI-UHFFFAOYSA-N,450.3960000000001,3.197000000000002,100.94,6,Inactive
PubChem_167512164,CC(=O)Nc1ccc(C(=O)Nc2cc(-c3cnn(C)c3)cnc2Nc2ccccc2C)cc1,PubChem,WUFNMLFWTXTQPY-UHFFFAOYSA-N,440.5070000000001,4.744820000000003,100.94,6,Inactive
PubChem_167512165,Nc1c2c(nn1C(=O)c1cc(F)cc(C(F)(F)F)c1)CCCC2,PubChem,HUSLFALPRYBQFR-UHFFFAOYSA-N,327.2810000000002,3.190500000000001,60.91,1,Inactive
PubChem_167512180,CNC(=O)c1cnc(-n2c(=O)ccc3ccccc32)c(NC(=O)c2cc(F)cc(C(F)(F)F)c2)c1,PubChem,SZADQTBFMGAOSD-UHFFFAOYSA-N,484.40900000000016,4.155500000000003,93.09,4,Inactive
PubChem_167512188,CNC(=O)c1cnc(Nc2ccccc2C)c(NC(=O)Cc2cccc(Cl)c2)c1,PubChem,OQJUEBVZMCATOQ-UHFFFAOYSA-N,408.8890000000001,4.327820000000003,83.12,6,Inactive
PubChem_167512190,CNC(=O)c1cnc(Nc2cc(F)ccc2Cl)c(NC(=O)N2CCc3ccccc32)c1,PubChem,GBZUQFJFSIYHIH-UHFFFAOYSA-N,439.8780000000002,4.571900000000003,86.36,4,Inactive
PubChem_167512196,CNC(=O)c1cnc(Nc2ccccc2C)c(NC(=O)c2cc(F)c3[nH]ncc3c2)c1,PubChem,MXEYMDKKZGYFNE-UHFFFAOYSA-N,418.4320000000001,3.760920000000002,111.8,5,Inactive
PubChem_167512215,CNC(=O)c1cnc(NC2CCCCC2)c(NC(=O)c2cc(F)cc(C(F)(F)F)c2)c1,PubChem,KFNDBSXPYFLLEJ-UHFFFAOYSA-N,438.425,4.596000000000003,83.12,5,Inactive
PubChem_167512220,CNC(=O)c1cnc(Nc2ccccc2C)c(NC(=O)c2cc(F)cc3[nH]ccc23)c1,PubChem,SMXXENBXDQTVTP-UHFFFAOYSA-N,417.4440000000001,4.365920000000002,98.91,5,Inactive
PubChem_167512221,CNC(=O)c1cnc(Nc2ccc(C)nc2)c(NC(=O)c2cc(F)cc(C(F)(F)F)c2)c1,PubChem,YOOWIYIHRKDBOL-UHFFFAOYSA-N,447.3920000000001,4.298420000000003,96.01,5,Inactive
PubChem_167512234,CNC(=O)c1cnc(Nc2ccccc2C)c(NC(=O)c2ccc3c(n2)CCCN3)c1,PubChem,CEYKGQPHKBOZAP-UHFFFAOYSA-N,416.4850000000002,3.4986200000000016,108.04,5,Inactive
PubChem_167512241,CNC(=O)c1cnc(Nc2ccccc2C)c(NC(=O)c2cc3cc(F)ccc3o2)c1,PubChem,GHQYZXGLXSVXSI-UHFFFAOYSA-N,418.42800000000017,4.630820000000003,96.26,5,Inactive
PubChem_167512243,O=C(Nc1ccnn1-c1ccccc1)c1cc(F)cc(C(F)(F)F)c1,PubChem,SRZXRXFUSKUHFE-UHFFFAOYSA-N,349.28700000000003,4.2825000000000015,46.92,3,Inactive
PubChem_167512255,CNC(=O)c1cnc(Nc2ccccc2C)c(NC(=O)c2ccc(F)c(C)c2Cl)c1,PubChem,OUAXOPCBXNETCU-UHFFFAOYSA-N,426.8790000000001,4.846440000000003,83.12,5,Inactive
PubChem_167512265,CNC(=O)c1cnc(Nc2cccc(F)c2)c(N)c1,PubChem,ZJSYYQNUWWRTQY-UHFFFAOYSA-N,260.272,1.9061,80.04,3,Inactive
PubChem_167512269,CNC(=O)c1cnc(Nc2ccccc2)c(N)c1,PubChem,ZEDUQEMQAABILN-UHFFFAOYSA-N,242.282,1.767,80.04,3,Inactive
PubChem_167512270,Cc1ccccc1Nc1ncc(-c2cnn(C)c2)cc1NC(=O)c1cccc(C#N)c1,PubChem,ZOFFJQIQNXUAKN-UHFFFAOYSA-N,408.46500000000015,4.658100000000003,95.63,5,Inactive
PubChem_167512279,CNC(=O)c1cnc(Nc2ccccc2C)c(NC(=O)c2[nH]nc3ccccc23)c1,PubChem,TWQFDWZROQJRSD-UHFFFAOYSA-N,400.4420000000001,3.621820000000002,111.8,5,Inactive
PubChem_167512292,CNC(=O)c1cnc(Nc2ccccc2C)c(Nc2nnc3c(C(F)(F)F)cccn23)c1,PubChem,OTWUEPNPMDYEFR-UHFFFAOYSA-N,441.4170000000001,4.298320000000002,96.24,5,Inactive
PubChem_167512296,CNC(=O)c1cnc(Nc2ccccc2C)c(NC(=O)c2cc(F)cc3cccnc23)c1,PubChem,ACFZMQSESOTVDD-UHFFFAOYSA-N,429.45500000000015,4.432820000000002,96.01,5,Inactive
PubChem_167512302,Cc1ccccc1Nc1ncc(-c2cnn(C)c2)cc1NS(=O)(=O)c1ccccc1,PubChem,VUIWLDHUDGGWPW-UHFFFAOYSA-N,419.5100000000001,4.334920000000002,88.91,6,Inactive
PubChem_167512309,CNC(=O)c1cnc(Nc2ccccc2C)c(NC(=O)c2ccnc3ccccc23)c1,PubChem,GJLKIXSXUVFDFC-UHFFFAOYSA-N,411.46500000000015,4.293720000000003,96.01,5,Inactive
PubChem_167512310,CNC(=O)c1cnc(Nc2ccccc2C)c(NC(=O)c2ccc(Cl)c(C)c2F)c1,PubChem,KTRXOBFHQVIKTE-UHFFFAOYSA-N,426.8790000000001,4.846440000000003,83.12,5,Inactive
PubChem_167512311,CNC(=O)c1cnc(Nc2ccccc2C)c(NC(=O)c2cc(F)c3cc[nH]c3c2)c1,PubChem,QGWWBUZTMFMEIH-UHFFFAOYSA-N,417.4440000000001,4.365920000000002,98.91,5,Inactive
PubChem_167512315,CNC(=O)c1cnc(Nc2ccccc2C)c(NC(=O)c2c[nH]c3ccccc23)c1,PubChem,JLVPYBYNFBSLGS-UHFFFAOYSA-N,399.4540000000001,4.226820000000003,98.91,5,Inactive
PubChem_167512323,CNC(=O)c1cnc(Nc2ccccc2C)c(NC(=O)CCc2c[nH]c3ccc(F)cc23)c1,PubChem,QRHIDIADFKSSAZ-UHFFFAOYSA-N,445.4980000000002,4.684920000000003,98.91,7,Inactive
PubChem_167512324,CNC(=O)c1cnc(Nc2ccccc2C)c(NC(=O)C2(c3ccc(F)c(F)c3)CC2)c1,PubChem,YGMDEOCQLLXYRN-UHFFFAOYSA-N,436.4620000000002,4.441720000000003,83.12,6,Inactive
PubChem_167512330,CNC(=O)c1cnc(Nc2ccccc2C)c(NC(=O)c2cccc(C(F)(F)F)n2)c1,PubChem,KTFFAKRBJFCPSA-UHFFFAOYSA-N,429.4020000000001,4.159320000000002,96.01,5,Inactive
PubChem_167512333,CNc1ncc(-c2cnn(C)c2)cc1NC(=O)c1cc(F)cc(C(F)(F)F)c1,PubChem,ZFMMEXHCFIYCPP-UHFFFAOYSA-N,393.344,3.934000000000002,71.84,4,Inactive
PubChem_167512346,CNC(=O)c1cnc(Nc2ccccc2C)c(NC(=O)c2ccc3ncccc3c2)c1,PubChem,YRQFTRFYVBHTIT-UHFFFAOYSA-N,411.46500000000015,4.293720000000003,96.01,5,Inactive
PubChem_167512357,CNC(=O)c1cnc(Nc2ccccc2C)c(NC(=O)c2c[nH]c3ccc(Cl)cc23)c1,PubChem,PNQONUOUNLFEIG-UHFFFAOYSA-N,433.89900000000017,4.880220000000003,98.91,5,Inactive
PubChem_167512364,CNC(=O)c1cnc(Nc2ccccc2C)c(NC(=O)Cc2ccc(F)cc2C(F)(F)F)c1,PubChem,OWFGRNLSWYXDMX-UHFFFAOYSA-N,460.43100000000015,4.832320000000004,83.12,6,Inactive
PubChem_167512366,CNC(=O)c1cnc(Nc2ccccc2C)c(NC(=O)c2ccccc2)c1,PubChem,JFRDNOXZKPPBLD-UHFFFAOYSA-N,360.4170000000001,3.745520000000002,83.12,5,Inactive
PubChem_167512368,CNC(=O)c1cnc(Nc2ccccc2C)c(NC(=O)c2csc3cc(OC)ccc23)c1,PubChem,MFPDSVMDZWGKAW-UHFFFAOYSA-N,446.5320000000002,4.968820000000003,92.35,6,Inactive
PubChem_167512369,Cc1ccccc1Nc1ncc(-c2cnn(C)c2)cc1NC(=O)c1ccc(C#N)cc1,PubChem,NEQCEOJFYZQQDF-UHFFFAOYSA-N,408.46500000000015,4.658100000000003,95.63,5,Inactive
PubChem_167512375,CNC(=O)c1cnc(Nc2cccc(F)c2)c(NC(=O)c2cc(F)cc(C(F)(F)F)c2)c1,PubChem,JOUHRYZQLILTSU-UHFFFAOYSA-N,450.3670000000001,4.734100000000002,83.12,5,Inactive
PubChem_167512386,CNC(=O)c1cnc(Nc2ccccc2C)c(NC(=O)c2csc(C(F)(F)F)n2)c1,PubChem,ZLCCAWRGKLYHRS-UHFFFAOYSA-N,435.4310000000001,4.220820000000002,96.01,5,Inactive
PubChem_167512398,CCc1c(Cl)c(C(=O)Nc2cc(C(=O)NC)cnc2Nc2ccccc2C)nn1C,PubChem,BEAYYQLYMHUQLZ-UHFFFAOYSA-N,426.9080000000001,3.6948200000000018,100.94,6,Inactive
PubChem_167512403,CNC(=O)c1cnc(Nc2ccccc2C)c(NC(=O)Cc2cc(C)cc(F)c2)c1,PubChem,CTFCWMUKSPTUGY-UHFFFAOYSA-N,406.4610000000002,4.121940000000003,83.12,6,Inactive
PubChem_167512411,CNC(=O)c1cnc(Nc2ccccc2C)c(NC(=O)c2cc3c(Br)cccc3[nH]2)c1,PubChem,MAFWCQHGDLQWHS-UHFFFAOYSA-N,478.35000000000014,4.989320000000003,98.91,5,Inactive
PubChem_167512420,CNC(=O)c1cnc(Nc2ccccc2C#N)c(NC(=O)c2cc(F)cc(C(F)(F)F)c2)c1,PubChem,KWNHVYQCVXXCEK-UHFFFAOYSA-N,457.3870000000001,4.466680000000002,106.91,5,Inactive
PubChem_167512424,COc1ccc(C(=O)Nc2cc(-c3cnn(C)c3)cnc2Nc2ccccc2C)cc1,PubChem,HBHRYGDZVLDNPM-UHFFFAOYSA-N,413.4810000000001,4.795020000000004,81.07,6,Inactive
PubChem_167512437,CNC(=O)c1cnc(Nc2ccccc2C)c(NC(=O)c2cnc3ccccn23)c1,PubChem,SCCGWXUYYPHRQQ-UHFFFAOYSA-N,400.4420000000001,3.393220000000002,100.42,5,Inactive
PubChem_167512449,CNC(=O)c1cnc(Nc2ccccc2C)c(NC(=O)c2cc3c(Cl)ccnc3[nH]2)c1,PubChem,FRCYLPUOLYKARI-UHFFFAOYSA-N,434.88700000000017,4.275220000000002,111.8,5,Inactive
PubChem_167512462,CNC(=O)c1cnc(Nc2ccc(OC)cc2)c(NC(=O)c2cc(F)cc(C(F)(F)F)c2)c1,PubChem,DTGYKBBVUQAPDB-UHFFFAOYSA-N,462.4030000000001,4.603600000000003,92.35,6,Inactive
