Original_ID,SMILES,standard_value,standard_units,relation,Activity_uM,Filter_Status,Source,Activity_Type,InChIKey,MW,LogP,TPSA,RotBonds
CHEMBL240118,Cc1ccc([N+](=O)[O-])cc1S(=O)(=O)N(C)/N=C/c1cnc2ccccc2c1,10000.0,nM,>,10.0,PASS,ChEMBL,IC50,SDAGGAYSPROREN-UDWIEESQSA-N,384.4170000000001,3.106020000000002,105.77,5
CHEMBL393747,Cc1ccc([N+](=O)[O-])cc1S(=O)(=O)N(C)/N=C/c1ccnc2ccccc12,2300.0,nM,=,2.3,PASS,ChEMBL,IC50,GFSHICSFPIHSQR-UDWIEESQSA-N,384.4170000000001,3.106020000000002,105.77,5
CHEMBL413803,Cc1ccc([N+](=O)[O-])cc1S(=O)(=O)N(C)/N=C/c1cccc2ccccc12,10000.0,nM,>,10.0,PASS,ChEMBL,IC50,GZLYDOBJMZEPBB-DEDYPNTBSA-N,383.4290000000001,3.711020000000002,92.88,5
CHEMBL413802,Cc1ccc([N+](=O)[O-])cc1S(=O)(=O)N(C)/N=C/c1csc2ccccc12,10000.0,nM,>,10.0,PASS,ChEMBL,IC50,VPBQISOAPDRGBH-VCHYOVAHSA-N,389.4580000000001,3.7725200000000028,92.88,5
CHEMBL392071,Cc1ccc([N+](=O)[O-])cc1S(=O)(=O)N(C)/N=C/c1coc2ccccc12,10000.0,nM,>,10.0,PASS,ChEMBL,IC50,BMFMJWQFQVDCKQ-VCHYOVAHSA-N,373.3900000000001,3.304020000000002,106.02,5
CHEMBL392070,Cc1ccc([N+](=O)[O-])cc1S(=O)(=O)N(C)/N=C/c1onc2ccccc12,5000.0,nM,=,5.0,PASS,ChEMBL,IC50,UZHZBVBRVGUDPH-LICLKQGHSA-N,374.3780000000001,2.699020000000001,118.91,5
CHEMBL239475,Cc1ccc([N+](=O)[O-])cc1S(=O)(=O)N(C)/N=C/c1cn(C)c2ccccc12,10000.0,nM,>,10.0,PASS,ChEMBL,IC50,CYGPZGPUQYTDIU-YBFXNURJSA-N,386.4330000000001,3.049520000000001,97.81,5
CHEMBL239052,Cc1ccc([N+](=O)[O-])cc1S(=O)(=O)N(C)/N=C/c1ncn2ccccc12,10000.0,nM,>,10.0,PASS,ChEMBL,IC50,GGOBUVOABVKONT-VCHYOVAHSA-N,373.39400000000006,2.20552,110.17999999999999,5
CHEMBL393526,Cc1ccc([N+](=O)[O-])cc1S(=O)(=O)N(C)/N=C/c1ncc2ccccn12,10000.0,nM,>,10.0,PASS,ChEMBL,IC50,HSSUHUSEEATZRV-WOJGMQOQSA-N,373.39400000000006,2.20552,110.17999999999999,5
CHEMBL397796,Cc1ccc([N+](=O)[O-])cc1S(=O)(=O)N(C)/N=C/c1cncn1C,10000.0,nM,>,10.0,PASS,ChEMBL,IC50,OUTSXZNLLFOFRA-OVCLIPMQSA-N,337.36100000000005,1.2913199999999998,110.69999999999999,5
CHEMBL272265,N#CCc1ccc(-n2cnc3cnc4ccc(C#Cc5cccnc5)cc4c32)cc1,64.0,nM,=,0.064,PASS,ChEMBL,IC50,MBIMERRBQGQJIO-UHFFFAOYSA-N,385.43000000000006,4.434580000000003,67.39,2
CHEMBL255592,Cn1c(=O)n(-c2ccc(C(C)(C)C#N)cc2)c2c3cc(C#Cc4cccnc4)ccc3ncc21,72.0,nM,=,0.072,PASS,ChEMBL,IC50,ISHNPDWTQUXPSY-UHFFFAOYSA-N,443.51000000000016,4.473380000000003,76.5,2
CHEMBL273832,COC[C@H]1OC(=O)c2coc3c2[C@@]1(C)C1=C(C3=O)[C@@H]2CC[C@H](O)[C@@]2(C)C[C@H]1OC(C)=O,2.7,nM,=,0.0027,PASS,ChEMBL,IC50,XLJORQYAOTYVQS-OGCOKEDGSA-N,430.45300000000026,2.3282000000000007,112.27000000000001,3
CHEMBL496332,COCC(O)Cn1cc(-c2ccc3c(c2)N(c2nc4c(s2)C(=O)NC(C)(C)C4)CCO3)cn1,243.0,nM,=,0.243,PASS,ChEMBL,IC50,DDNDFDDGMCJGHM-UHFFFAOYSA-N,469.5670000000003,2.608900000000001,101.74000000000001,6
CHEMBL490428,Cc1ccc(Nc2ccc3c(c2)N(c2nc4c(s2)C(=O)NC(C)(C)C4)CCO3)nn1,24.0,nM,=,0.024,PASS,ChEMBL,IC50,YTFVFLULFAFNTO-UHFFFAOYSA-N,422.51400000000024,3.5801200000000017,92.27000000000001,3
CHEMBL493090,CN1CCN(Cc2cc3nc(-c4cccc5[nH]ncc45)nc(N4CCOCC4)c3s2)CC1,44.0,nM,=,0.044,PASS,ChEMBL,IC50,XXHROJHHXVCFML-UHFFFAOYSA-N,449.58400000000034,2.818600000000001,73.41,4
