Original_ID,SMILES,standard_value,standard_units,relation,Activity_uM,Filter_Status,Source,Activity_Type,InChIKey
CHEMBL3216649,Nc1cccc(-c2nc(N3CCOCC3)c3oc4ncccc4c3n2)c1,140.0,nM,=,0.14,PASS,ChEMBL,IC50,RQPKSOWRJPRYCN-UHFFFAOYSA-N
CHEMBL541906,Oc1ccc(-c2nc(N3CCOCC3)c3oc4ncccc4c3n2)cc1,26.0,nM,=,0.026,PASS,ChEMBL,IC50,CCCHXFXRXKOQKH-UHFFFAOYSA-N
CHEMBL538346,Oc1cccc(-c2nc(N3CCOCC3)c3oc4ncccc4c3n2)c1,3.6,nM,=,0.0036,PASS,ChEMBL,IC50,TUVCWJQQGGETHL-UHFFFAOYSA-N
CHEMBL390623,Oc1ccccc1-c1nc(N2CCOCC2)c2oc3ncccc3c2n1,400.0,nM,=,0.4,PASS,ChEMBL,IC50,OWJSSUTXEPXHHS-UHFFFAOYSA-N
CHEMBL541647,c1ccc2c(c1)sc1c(N3CCOCC3)ncnc12,2400.0,nM,=,2.4,PASS,ChEMBL,IC50,LJEPZSLDJIZVIO-UHFFFAOYSA-N
CHEMBL388480,c1ccc(-c2nc(N3CCOCC3)c3oc4ncccc4c3n2)cc1,160.0,nM,=,0.16,PASS,ChEMBL,IC50,NVQCHUVXJRWAFQ-UHFFFAOYSA-N
CHEMBL230239,c1ccc(-c2nc(N3CCOCC3)c3sc4ncccc4c3n2)cc1,1700.0,nM,=,1.7,PASS,ChEMBL,IC50,KABUJZYOOVQZPG-UHFFFAOYSA-N
CHEMBL230131,c1cnc2oc3c(N4CCOCC4)ncnc3c2c1,560.0,nM,=,0.56,PASS,ChEMBL,IC50,MICIOIFPRCWFRQ-UHFFFAOYSA-N
CHEMBL390850,c1cnc2sc3c(N4CCOCC4)ncnc3c2c1,1400.0,nM,=,1.4,PASS,ChEMBL,IC50,AWGGGZJVYBRJGU-UHFFFAOYSA-N
CHEMBL541643,Oc1cccc(-c2nc(N3CCOCC3)c3sccc3n2)c1,2.5,nM,=,0.0025,PASS,ChEMBL,IC50,XXLAEKOWCYJOKK-UHFFFAOYSA-N
CHEMBL230011,Nc1nc(N)c2nc(-c3cccc(O)c3)c(-c3cccc(O)c3)nc2n1,1300.0,nM,=,1.3,PASS,ChEMBL,IC50,UJIAQDJKSXQLIT-UHFFFAOYSA-N
CHEMBL393525,Cc1ccc([N+](=O)[O-])cc1S(=O)(=O)N(C)/N=C/c1cnc2ccc(Br)cn12,7.8,nM,=,0.0078,PASS,ChEMBL,IC50,QTHCAAFKVUWAFI-DJKKODMXSA-N
CHEMBL239050,Cc1ccc([N+](=O)[O-])cc1S(=O)(=O)N(C)/N=C/c1cnc2ccccn12,860.0,nM,=,0.86,PASS,ChEMBL,IC50,XQMVGASZQFWMGU-WOJGMQOQSA-N
CHEMBL239051,Cc1ccc([N+](=O)[O-])cc1S(=O)(=O)N(C)/N=C/c1cnc2n1CCCC2,10000.0,nM,>,10.0,PASS,ChEMBL,IC50,TVSPMOBQMRBHKM-WOJGMQOQSA-N
CHEMBL397780,Cc1ccc([N+](=O)[O-])cc1S(=O)(=O)N(C)/N=C/c1cncc2c(Br)cccc12,10000.0,nM,>,10.0,PASS,ChEMBL,IC50,YWACQWOZGPPFKN-UFFVCSGVSA-N
CHEMBL397105,Cc1ccc([N+](=O)[O-])cc1S(=O)(=O)N(C)/N=C/c1cncc2cc(Br)ccc12,10000.0,nM,>,10.0,PASS,ChEMBL,IC50,LTENZSCRXMTCGU-SRZZPIQSSA-N
CHEMBL240336,Cc1ccc([N+](=O)[O-])cc1S(=O)(=O)N(C)/N=C/c1cncc2ccc(Br)cc12,2200.0,nM,=,2.2,PASS,ChEMBL,IC50,ZZRQEQBBIOJFEF-SRZZPIQSSA-N
